台灣頻道,#genre#
電影原聲台 CMusic,https://www.judy.xx.kg/judy.php?id=4gtv-live031/index.m3u8
靖天日本,https://www.judy.xx.kg/judy.php?id=4gtv-4gtv047/index.m3u8
靖天日本,https://www.judy.xx.kg/judy.php?id=li-4gtv-4gtv047/index.m3u8
靖天卡通,https://www.judy.xx.kg/judy.php?id=4gtv-4gtv044/index.m3u8
靖天卡通,https://www.judy.xx.kg/judy.php?id=li-4gtv-4gtv044/index.m3u8
靖天育樂,https://www.judy.xx.kg/judy.php?id=4gtv-4gtv062/index.m3u8
靖天育樂,https://www.judy.xx.kg/judy.php?id=li-4gtv-4gtv062/index.m3u8
靖天映畫,https://www.judy.xx.kg/judy.php?id=4gtv-4gtv055/index.m3u8
靖天映畫,https://www.judy.xx.kg/judy.php?id=li-4gtv-4gtv055/index.m3u8
靖天國際,https://www.judy.xx.kg/judy.php?id=4gtv-4gtv063/index.m3u8
靖天國際,https://www.judy.xx.kg/judy.php?id=li-4gtv-4gtv063/index.m3u8
靖天資訊,https://www.judy.xx.kg/judy.php?id=4gtv-4gtv065/index.m3u8
靖天資訊,https://www.judy.xx.kg/judy.php?id=li-4gtv-4gtv065/index.m3u8
靖天電影,https://www.judy.xx.kg/judy.php?id=4gtv-4gtv061/index.m3u8
靖天電影,https://www.judy.xx.kg/judy.php?id=li-4gtv-4gtv061/index.m3u8
靖天綜合,https://www.judy.xx.kg/judy.php?id=4gtv-4gtv046/index.m3u8
靖天綜合,https://www.judy.xx.kg/judy.php?id=li-4gtv-4gtv046/index.m3u8
靖天戲劇,https://www.judy.xx.kg/judy.php?id=4gtv-4gtv058/index.m3u8
靖天戲劇,https://www.judy.xx.kg/judy.php?id=li-4gtv-4gtv058/index.m3u8
靖天歡樂,https://www.judy.xx.kg/judy.php?id=4gtv-4gtv054/index.m3u8
靖天歡樂,https://www.judy.xx.kg/judy.php?id=li-4gtv-4gtv054/index.m3u8
靖洋卡通,https://www.judy.xx.kg/judy.php?id=4gtv-4gtv057/index.m3u8
靖洋卡通,https://www.judy.xx.kg/judy.php?id=li-4gtv-4gtv057/index.m3u8
靖洋戲劇,https://www.judy.xx.kg/judy.php?id=4gtv-4gtv045/index.m3u8
靖洋戲劇,https://www.judy.xx.kg/judy.php?id=li-4gtv-4gtv045/index.m3u8
滾動力 Rollor,https://www.judy.xx.kg/judy.php?id=4gtv-live012/index.m3u8
精選動漫台,https://www.judy.xx.kg/judy.php?id=4gtv-live024/index.m3u8
影迷數位紀實台,https://www.judy.xx.kg/judy.php?id=li-litv-ftv15/index.m3u8
影迷數位紀實台,https://www.judy.xx.kg/judy.php?id=litv-ftv15/index.m3u8
影迷數位電影台,https://www.judy.xx.kg/judy.php?id=4gtv-4gtv011/index.m3u8
影迷數位電影台,https://www.judy.xx.kg/judy.php?id=li-4gtv-4gtv011/index.m3u8
歐洲光影,https://www.judy.xx.kg/judy.php?id=4gtv-live157/index.m3u8
豬哥亮歌廳秀,https://www.judy.xx.kg/judy.php?id=4gtv-4gtv006/index.m3u8
豬哥亮歌廳秀,https://www.judy.xx.kg/judy.php?id=li-4gtv-4gtv006/index.m3u8
寰宇財經,https://www.judy.xx.kg/judy.php?id=4gtv-4gtv158/index.m3u8
寰宇財經,https://www.judy.xx.kg/judy.php?id=li-4gtv-4gtv158/index.m3u8
寰宇財經,https://www.judy.xx.kg/judy.php?id=of-4gtv-4gtv158/index.m3u8
寰宇新聞,https://www.judy.xx.kg/judy.php?id=li-litv-longturn14/index.m3u8
寰宇新聞,https://www.judy.xx.kg/judy.php?id=litv-longturn14/index.m3u8
寰宇新聞,https://www.judy.xx.kg/judy.php?id=of-litv-longturn14/index.m3u8
寰宇新聞台灣台,https://www.judy.xx.kg/judy.php?id=4gtv-4gtv156/index.m3u8
寰宇新聞台灣台,https://www.judy.xx.kg/judy.php?id=li-4gtv-4gtv156/index.m3u8
寰宇新聞台灣台,https://www.judy.xx.kg/judy.php?id=of-4gtv-4gtv156/index.m3u8
歷史頻道,https://www.judy.xx.kg/judy.php?id=4gtv-live026/index.m3u8
龍華日韓,https://www.judy.xx.kg/judy.php?id=li-litv-longturn11/index.m3u8
龍華日韓,https://www.judy.xx.kg/judy.php?id=litv-longturn11/index.m3u8
龍華卡通,https://www.judy.xx.kg/judy.php?id=li-litv-longturn01/index.m3u8
龍華卡通,https://www.judy.xx.kg/judy.php?id=litv-longturn01/index.m3u8
龍華洋片,https://www.judy.xx.kg/judy.php?id=li-litv-longturn02/index.m3u8
龍華洋片,https://www.judy.xx.kg/judy.php?id=litv-longturn02/index.m3u8
龍華偶像,https://www.judy.xx.kg/judy.php?id=li-litv-longturn12/index.m3u8
龍華偶像,https://www.judy.xx.kg/judy.php?id=litv-longturn12/index.m3u8
龍華經典,https://www.judy.xx.kg/judy.php?id=li-litv-longturn21/index.m3u8
龍華經典,https://www.judy.xx.kg/judy.php?id=litv-longturn21/index.m3u8
